-  28% jaxagent_train                     (min=0.6s, mean=1.4s, max=2.4s, n=51)
-  27% jaxagent_train/jit_train           (min=0.6s, mean=1.4s, max=2.4s, n=51)
-  22% replay_sample                      (min=0.0s, mean=1.1s, max=29.5s, n=53)
-  18% jaxagent_policy                    (min=0.0s, mean=0.5s, max=3.4s, n=105)
-   8% checkpoint_save                    (min=22.4s, mean=22.4s, max=22.4s, n=1)
-   7% checkpoint_save/checkpoint_write   (min=0.0s, mean=5.9s, max=17.7s, n=3)
-   1% checkpoint_save/checkpoint_pickle  (min=0.0s, mean=1.2s, max=3.3s, n=3)
-   0% checkpoint_save/jaxagent_save      (min=1.1s, mean=1.1s, max=1.1s, n=1)
-   0% replay_sample/assemble_batch       (min=0.0s, mean=0.0s, max=0.0s, n=53)
-   0% replay_add                         (min=0.0s, mean=0.0s, max=0.0s, n=1680)
-   0% replay_update                      (min=0.0s, mean=0.0s, max=0.0s, n=50)
-   0% replay_update/set_slice            (min=0.0s, mean=0.0s, max=0.0s, n=200)
-   0% logfn                              (min=0.0s, mean=0.0s, max=0.0s, n=1680)
-   0% nvsmi_stats                        (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_add/get_slice               (min=0.0s, mean=0.0s, max=0.0s, n=656)
-   0% replay_sample/annotate_batch       (min=0.0s, mean=0.0s, max=0.0s, n=53)
-   0% replay_sample/sample               (min=0.0s, mean=0.0s, max=0.0s, n=196)
-   0% replay_sample/get_slice            (min=0.0s, mean=0.0s, max=0.0s, n=212)
-   0% stream_next                        (min=0.0s, mean=0.0s, max=0.0s, n=51)
-   0% psutil_stats                       (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_add                         (min=0.0s, mean=0.0s, max=0.0s, n=6)
-   0% checkpoint_save/replay_save        (min=0.0s, mean=0.0s, max=0.0s, n=1)
