-  64% jaxagent_train                     (min=0.6s, mean=1.6s, max=9.4s, n=50)
-  57% jaxagent_train/jit_train           (min=0.6s, mean=1.4s, max=2.4s, n=50)
-  33% jaxagent_policy                    (min=0.0s, mean=1.7s, max=1.8s, n=25)
-   2% jaxagent_report                    (min=2.0s, mean=2.0s, max=2.0s, n=1)
-   0% replay_sample                      (min=0.0s, mean=0.0s, max=0.0s, n=51)
-   0% replay_sample/assemble_batch       (min=0.0s, mean=0.0s, max=0.0s, n=51)
-   0% replay_update                      (min=0.0s, mean=0.0s, max=0.0s, n=50)
-   0% replay_update/set_slice            (min=0.0s, mean=0.0s, max=0.0s, n=200)
-   0% replay_add                         (min=0.0s, mean=0.0s, max=0.0s, n=400)
-   0% nvsmi_stats                        (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% jsonl                              (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logfn                              (min=0.0s, mean=0.0s, max=0.0s, n=400)
-   0% replay_sample/annotate_batch       (min=0.0s, mean=0.0s, max=0.0s, n=51)
-   0% replay_sample/get_slice            (min=0.0s, mean=0.0s, max=0.0s, n=204)
-   0% replay_sample/sample               (min=0.0s, mean=0.0s, max=0.0s, n=188)
-   0% replay_add/get_slice               (min=0.0s, mean=0.0s, max=0.0s, n=400)
-   0% stream_next                        (min=0.0s, mean=0.0s, max=0.0s, n=50)
-   0% logger_write                       (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/TerminalOutput        (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% psutil_stats                       (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_add                         (min=0.0s, mean=0.0s, max=0.0s, n=8)
-   0% logger_write/JSONLOutput           (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logger_write/ScopeOutput           (min=0.0s, mean=0.0s, max=0.0s, n=1)
