-  62% jaxagent_train                              (min=0.6s, mean=1.4s, max=2.3s, n=52)
-  62% jaxagent_train/jit_train                    (min=0.6s, mean=1.4s, max=2.3s, n=52)
-  37% jaxagent_policy                             (min=1.7s, mean=1.7s, max=1.7s, n=26)
-   0% replay_sample                               (min=0.0s, mean=0.0s, max=0.0s, n=52)
-   0% replay_sample/assemble_batch                (min=0.0s, mean=0.0s, max=0.0s, n=52)
-   0% replay_update                               (min=0.0s, mean=0.0s, max=0.0s, n=52)
-   0% replay_update/set_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=149)
-   0% jsonl                                       (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% replay_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=416)
-   0% replay_update/set_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=59)
-   0% nvsmi_stats                                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logfn                                       (min=0.0s, mean=0.0s, max=0.0s, n=416)
-   0% replay_add/get_compose                      (min=0.0s, mean=0.0s, max=0.0s, n=416)
-   0% replay_sample/annotate_batch                (min=0.0s, mean=0.0s, max=0.0s, n=52)
-   0% replay_sample/sample                        (min=0.0s, mean=0.0s, max=0.0s, n=192)
-   0% replay_sample/get_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=147)
-   0% replay_sample/get_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=61)
-   0% stream_next                                 (min=0.0s, mean=0.0s, max=0.0s, n=52)
-   0% psutil_stats                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/TerminalOutput                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=7)
-   0% logger_write/JSONLOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logger_write/ScopeOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=1)
