-  51% jaxagent_train                              (min=0.6s, mean=1.4s, max=2.3s, n=48)
-  51% jaxagent_train/jit_train                    (min=0.6s, mean=1.4s, max=2.3s, n=48)
-  29% jaxagent_policy                             (min=0.5s, mean=1.7s, max=1.7s, n=24)
-  18% checkpoint_save                             (min=24.1s, mean=24.1s, max=24.1s, n=1)
-  12% checkpoint_save/checkpoint_write            (min=0.0s, mean=5.5s, max=16.4s, n=3)
-   3% checkpoint_save/checkpoint_pickle           (min=0.0s, mean=1.2s, max=3.5s, n=3)
-   3% checkpoint_save/jaxagent_save               (min=3.6s, mean=3.6s, max=3.6s, n=1)
-   0% nvsmi_stats                                 (min=0.3s, mean=0.3s, max=0.3s, n=1)
-   0% replay_sample                               (min=0.0s, mean=0.0s, max=0.0s, n=48)
-   0% replay_update                               (min=0.0s, mean=0.0s, max=0.0s, n=48)
-   0% replay_sample/assemble_batch                (min=0.0s, mean=0.0s, max=0.0s, n=48)
-   0% replay_update/set_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=169)
-   0% replay_add                                  (min=0.0s, mean=0.0s, max=0.1s, n=384)
-   0% replay_add/get_compose                      (min=0.0s, mean=0.0s, max=0.1s, n=16)
-   0% jsonl                                       (min=0.0s, mean=0.0s, max=0.1s, n=2)
-   0% logfn                                       (min=0.0s, mean=0.0s, max=0.0s, n=384)
-   0% replay_update/set_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=23)
-   0% psutil_stats                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_sample/annotate_batch                (min=0.0s, mean=0.0s, max=0.0s, n=48)
-   0% replay_sample/sample                        (min=0.0s, mean=0.0s, max=0.0s, n=176)
-   0% replay_sample/get_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=169)
-   0% replay_add/get_slice                        (min=0.0s, mean=0.0s, max=0.0s, n=368)
-   0% stream_next                                 (min=0.0s, mean=0.0s, max=0.0s, n=48)
-   0% checkpoint_save/replay_save                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_sample/get_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=23)
-   0% logger_write                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% checkpoint_save/replay_save/complete_chunk  (min=0.0s, mean=0.0s, max=0.0s, n=16)
-   0% logger_write/TerminalOutput                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=7)
-   0% logger_write/JSONLOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logger_write/ScopeOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=1)
