- 247% chunk_save                                  (min=16.8s, mean=18.8s, max=19.6s, n=16)
-  62% jaxagent_train                              (min=0.6s, mean=1.5s, max=2.4s, n=52)
-  61% jaxagent_train/jit_train                    (min=0.6s, mean=1.4s, max=2.4s, n=52)
-  33% jaxagent_policy                             (min=0.0s, mean=1.5s, max=1.8s, n=26)
-   2% jaxagent_report                             (min=1.8s, mean=1.8s, max=1.8s, n=1)
-   0% replay_update                               (min=0.0s, mean=0.0s, max=0.1s, n=52)
-   0% replay_sample                               (min=0.0s, mean=0.0s, max=0.1s, n=53)
-   0% replay_sample/assemble_batch                (min=0.0s, mean=0.0s, max=0.1s, n=53)
-   0% replay_update/set_slice                     (min=0.0s, mean=0.0s, max=0.1s, n=167)
-   0% replay_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=416)
-   0% jsonl                                       (min=0.0s, mean=0.1s, max=0.1s, n=2)
-   0% logfn                                       (min=0.0s, mean=0.0s, max=0.0s, n=416)
-   0% nvsmi_stats                                 (min=0.1s, mean=0.1s, max=0.1s, n=1)
-   0% replay_update/set_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=41)
-   0% replay_add/get_compose                      (min=0.0s, mean=0.0s, max=0.0s, n=416)
-   0% replay_sample/annotate_batch                (min=0.0s, mean=0.0s, max=0.0s, n=53)
-   0% stream_next                                 (min=0.0s, mean=0.0s, max=0.0s, n=52)
-   0% replay_sample/sample                        (min=0.0s, mean=0.0s, max=0.0s, n=212)
-   0% replay_sample/get_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=171)
-   0% replay_sample/get_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=41)
-   0% psutil_stats                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/TerminalOutput                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=8)
-   0% logger_write/JSONLOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logger_write/ScopeOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=1)
